region,disease,cases_domestic,population,rate_per_100k,national_rate_per_100k,rq
강원,A형간염,844.0,12251932.5,6.888709189346252,10.434328204307132,0.660196713622895
강원,말라리아,116.0,12251932.5,0.946789414649485,0.9044807728749918,1.0467767176962872
강원,백일해,20.0,12251932.5,0.16323955424991118,0.5801455267375588,0.2813769075629813
강원,수두,10884.0,12251932.5,88.83496542280167,100.29835818767161,0.8857070746520058
강원,신증후군출혈열,169.0,12251932.5,1.3793742334117496,0.7971818944535853,1.7303130477608477
강원,유행성이하선염,3717.0,12251932.5,30.338071157345993,25.09184271884589,1.2090810347125198
강원,일본뇌염,9.0,12251932.5,0.07345779941246004,0.03511599657427846,2.0918614471635397
강원,쯔쯔가무시증,349.0,12251932.5,2.8485302216609503,13.309694284913501,0.21401920740506797
경기,A형간염,13553.0,104763854.0,12.936713840252574,10.434328204307132,1.2398224003450933
경기,말라리아,2225.0,104763854.0,2.123824119719765,0.9044807728749918,2.3481141704858537
경기,백일해,363.0,104763854.0,0.34649355301495494,0.5801455267375588,0.5972528220004679
경기,수두,115068.0,104763854.0,109.83559272265795,100.29835818767161,1.0950886406050726
경기,신증후군출혈열,538.0,104763854.0,0.513535899509768,0.7971818944535853,0.6441891155365017
경기,유행성이하선염,28301.0,104763854.0,27.014088275141155,25.09184271884589,1.0766083853559114
경기,일본뇌염,36.0,104763854.0,0.034362996993218674,0.03511599657427846,0.9785567930710148
경기,쯔쯔가무시증,3806.0,104763854.0,3.6329324043386184,13.309694284913501,0.27295385803538225
경남,A형간염,839.0,26594052.5,3.1548407298962804,10.434328204307132,0.30235206983368706
경남,말라리아,36.0,26594052.5,0.1353686129633684,0.9044807728749918,0.14966444508608442
경남,백일해,568.0,26594052.5,2.135815893422035,0.5801455267375588,3.681517472749931
경남,수두,36821.0,26594052.5,138.455769386783,100.29835818767161,1.3804390409633005
경남,신증후군출혈열,276.0,26594052.5,1.0378260327191577,0.7971818944535853,1.301868544606771
경남,유행성이하선염,9868.0,26594052.5,37.106040908958875,25.09184271884589,1.4788089230724137
경남,일본뇌염,5.0,26594052.5,0.018801196244912277,0.03511599657427846,0.5354026107487337
경남,쯔쯔가무시증,11328.0,26594052.5,42.59599021247326,13.309694284913501,3.20037329938943
경북,A형간염,896.0,21100780.5,4.246288425207778,10.434328204307132,0.40695369573049994
경북,말라리아,31.0,21100780.5,0.14691399685428697,0.9044807728749918,0.16242909883789416
경북,백일해,148.0,21100780.5,0.7013958559494992,0.5801455267375588,1.2089998519747107
경북,수두,22348.0,21100780.5,105.91077424837437,100.29835818767161,1.0559572076962733
경북,신증후군출혈열,262.0,21100780.5,1.2416602314781673,0.7971818944535853,1.557562007011263
경북,유행성이하선염,5019.0,21100780.5,23.785850006827946,25.09184271884589,0.947951502540025
경북,일본뇌염,6.0,21100780.5,0.028434967133087803,0.03511599657427846,0.8097439886959
경북,쯔쯔가무시증,3679.0,21100780.5,17.43537401377167,13.309694284913501,1.3099755441817034
광주,A형간염,726.0,11555279.5,6.282842401172555,10.434328204307132,0.6021319512049749
광주,말라리아,17.0,11555279.5,0.14711889920101023,0.9044807728749918,0.16265564024470813
광주,백일해,128.0,11555279.5,1.1077187704546654,0.5801455267375588,1.9093808698033201
광주,수두,15148.0,11555279.5,131.0915932409943,100.29835818767161,1.3070163421389656
광주,신증후군출혈열,57.0,11555279.5,0.4932810149680931,0.7971818944535853,0.6187810064429576
광주,유행성이하선염,4469.0,11555279.5,38.67496238407734,25.09184271884589,1.541336075529817
광주,일본뇌염,8.0,11555279.5,0.06923242315341659,0.03511599657427846,1.9715351949922306
광주,쯔쯔가무시증,1517.0,11555279.5,13.12819824046662,13.309694284913501,0.9863636203385523
대구,A형간염,702.0,19342207.0,3.629368665116654,10.434328204307132,0.3478296440415307
대구,말라리아,33.0,19342207.0,0.17061134750548373,0.9044807728749918,0.18862904842429845
대구,백일해,83.0,19342207.0,0.4291133891804591,0.5801455267375588,0.7396650829897335
대구,수두,21166.0,19342207.0,109.42908428185056,100.29835818767161,1.0910356486304007
대구,신증후군출혈열,40.0,19342207.0,0.20680163333998028,0.7971818944535853,0.25941586829656854
대구,유행성이하선염,4106.0,19342207.0,21.228187662348976,25.09184271884589,0.8460194773341612
대구,일본뇌염,10.0,19342207.0,0.05170040833499507,0.03511599657427846,1.472275127537296
대구,쯔쯔가무시증,1199.0,19342207.0,6.19887895936591,13.309694284913501,0.46574164865622203
대전,A형간염,3685.0,11750432.5,31.360547792602524,10.434328204307132,3.0055167116228305
대전,말라리아,24.0,11750432.5,0.20424780109157684,0.9044807728749918,0.22581773677991263
대전,백일해,48.0,11750432.5,0.40849560218315367,0.5801455267375588,0.70412609139697
대전,수두,11498.0,11750432.5,97.85171737295627,100.29835818767161,0.9756063722385431
대전,신증후군출혈열,42.0,11750432.5,0.35743365191025944,0.7971818944535853,0.44837151269630404
대전,유행성이하선염,2854.0,11750432.5,24.28846767980668,25.09184271884589,0.9679826209640707
대전,일본뇌염,3.0,11750432.5,0.025530975136447105,0.03511599657427846,0.7270468626012986
대전,쯔쯔가무시증,1484.0,11750432.5,12.629322367495833,13.309694284913501,0.9488814767001171
부산,A형간염,1333.0,27039441.5,4.929835551522023,10.434328204307132,0.47246314808145123
부산,말라리아,38.0,27039441.5,0.1405354470801477,0.9044807728749918,0.15537693148903572
부산,백일해,176.0,27039441.5,0.650901018055421,0.5801455267375588,1.1219616252421265
부산,수두,21470.0,27039441.5,79.40252760028346,100.29835818767161,0.7916632837768963
부산,신증후군출혈열,107.0,27039441.5,0.3957182325677843,0.7971818944535853,0.4963964125640643
부산,유행성이하선염,5705.0,27039441.5,21.098808568216914,25.09184271884589,0.8408632560242416
부산,일본뇌염,0.0,27039441.5,0.0,0.03511599657427846,0.0
부산,쯔쯔가무시증,3791.0,27039441.5,14.02025999686421,13.309694284913501,1.0533870798787717
서울,A형간염,8256.0,76458104.0,10.798070535466065,10.434328204307132,1.0348601581277448
서울,말라리아,470.0,76458104.0,0.6147157402699915,0.9044807728749918,0.6796338393308791
서울,백일해,293.0,76458104.0,0.3832164082959734,0.5801455267375588,0.6605522073935244
서울,수두,49217.0,76458104.0,64.371201252911,100.29835818767161,0.6417971581594974
서울,신증후군출혈열,107.0,76458104.0,0.1399459238487002,0.7971818944535853,0.1755508056848478
서울,유행성이하선염,12062.0,76458104.0,15.775960125822634,25.09184271884589,0.6287286391275553
서울,일본뇌염,40.0,76458104.0,0.052316233214467364,0.03511599657427846,1.489812003592335
서울,쯔쯔가무시증,1474.0,76458104.0,1.9278531939531223,13.309694284913501,0.14484579079613707
세종,A형간염,571.0,2580087.5,22.131032377777885,10.434328204307132,2.120982965500599
세종,말라리아,3.0,2580087.5,0.11627512632807994,0.9044807728749918,0.1285545583887722
세종,백일해,35.0,2580087.5,1.356543140494266,0.5801455267375588,2.338280789861071
세종,수두,4475.0,2580087.5,173.4437301060526,100.29835818767161,1.729277858980665
세종,신증후군출혈열,15.0,2580087.5,0.5813756316403998,0.7971818944535853,0.7292885547016768
세종,유행성이하선염,645.0,2580087.5,24.999152160537193,25.09184271884589,0.9963059485368494
세종,일본뇌염,1.0,2580087.5,0.03875837544269332,0.03511599657427846,1.103724206166565
세종,쯔쯔가무시증,344.0,2580087.5,13.332881152286502,13.309694284913501,1.0017421036784657
울산,A형간염,296.0,9105127.0,3.250915665426743,10.434328204307132,0.31155965211874537
울산,말라리아,20.0,9105127.0,0.2196564638801853,0.9044807728749918,0.24285365755424854
울산,백일해,62.0,9105127.0,0.6809350380285745,0.5801455267375588,1.1737314288327003
울산,수두,10855.0,9105127.0,119.21854577097058,100.29835818767161,1.1886390557649684
울산,신증후군출혈열,19.0,9105127.0,0.20867364068617603,0.7971818944535853,0.2617641496100558
울산,유행성이하선염,3284.0,9105127.0,36.067591369126426,25.09184271884589,1.4374229813754138
울산,일본뇌염,0.0,9105127.0,0.0,0.03511599657427846,0.0
울산,쯔쯔가무시증,2350.0,9105127.0,25.80963450592177,13.309694284913501,1.9391605812597
인천,A형간염,3087.0,23423427.5,13.179113090942819,10.434328204307132,1.263053340176005
인천,말라리아,580.0,23423427.5,2.476153415207915,0.9044807728749918,2.7376517992054032
인천,백일해,124.0,23423427.5,0.5293845232513473,0.5801455267375588,0.9125029821885117
인천,수두,20966.0,23423427.5,89.50867672973992,100.29835818767161,0.8924241467867026
인천,신증후군출혈열,45.0,23423427.5,0.19211535117992445,0.7971818944535853,0.24099311903164414
인천,유행성이하선염,5039.0,23423427.5,21.512650102125317,25.09184271884589,0.8573563266426691
인천,일본뇌염,8.0,23423427.5,0.03415384020976435,0.03511599657427846,0.9726006248326478
인천,쯔쯔가무시증,546.0,23423427.5,2.330999594316417,13.309694284913501,0.17513547226690232
전남,A형간염,780.0,14828423.5,5.260168081927253,10.434328204307132,0.5041213942030245
전남,말라리아,21.0,14828423.5,0.1416199098980414,0.9044807728749918,0.1565759208433883
전남,백일해,126.0,14828423.5,0.8497194593882484,0.5801455267375588,1.4646660539927547
전남,수두,17251.0,14828423.5,116.33738407862441,100.29835818767161,1.1599131449484112
전남,신증후군출혈열,550.0,14828423.5,3.7090928782820374,0.7971818944535853,4.65275604487276
전남,유행성이하선염,4540.0,14828423.5,30.61687575890991,25.09184271884589,1.2201923988593433
전남,일본뇌염,7.0,14828423.5,0.047206636632680474,0.03511599657427846,1.344305764833628
전남,쯔쯔가무시증,9091.0,14828423.5,61.30793337538545,13.309694284913501,4.6062615761864505
전북,A형간염,1765.0,14467406.0,12.199837344718189,10.434328204307132,1.1692019942100615
전북,말라리아,21.0,14467406.0,0.14515387209013142,0.9044807728749918,0.1604830931106958
전북,백일해,54.0,14467406.0,0.37325281394605225,0.5801455267375588,0.6433779056179831
전북,수두,16996.0,14467406.0,117.47786714494637,100.29835818767161,1.1712840495866303
전북,신증후군출혈열,413.0,14467406.0,2.8546928177725848,0.7971818944535853,3.5809804984711615
전북,유행성이하선염,4631.0,14467406.0,32.009884840447555,25.09184271884589,1.275708810991617
전북,일본뇌염,0.0,14467406.0,0.0,0.03511599657427846,0.0
전북,쯔쯔가무시증,5763.0,14467406.0,39.834369755020354,13.309694284913501,2.9928839011856563
제주,A형간염,336.0,5277311.5,6.3668782864153455,10.434328204307132,0.6101857409264925
제주,말라리아,10.0,5277311.5,0.18949042519093293,0.9044807728749918,0.20950188315072382
제주,백일해,32.0,5277311.5,0.6063693606109853,0.5801455267375588,1.045202165085881
제주,수두,9967.0,5277311.5,188.86510678780283,100.29835818767161,1.883032885088817
제주,신증후군출혈열,18.0,5277311.5,0.34108276534367926,0.7971818944535853,0.42786065227618925
제주,유행성이하선염,1580.0,5277311.5,29.9394871801674,25.09184271884589,1.1931960324970696
제주,일본뇌염,0.0,5277311.5,0.0,0.03511599657427846,0.0
제주,쯔쯔가무시증,687.0,5277311.5,13.017992210617091,13.309694284913501,0.9780834880161708
충남,A형간염,3161.0,16833872.0,18.77761693804016,10.434328204307132,1.799599990566623
충남,말라리아,40.0,16833872.0,0.23761615865916055,0.9044807728749918,0.262710016381964
충남,백일해,61.0,16833872.0,0.3623646419552198,0.5801455267375588,0.6246099043337847
충남,수두,15293.0,16833872.0,90.84659785936356,100.29835818767161,0.9057635588548464
충남,신증후군출혈열,469.0,16833872.0,2.786049460278657,0.7971818944535853,3.4948729764971733
충남,유행성이하선염,4471.0,16833872.0,26.559546134127668,25.09184271884589,1.0584932494487311
충남,일본뇌염,5.0,16833872.0,0.02970201983239507,0.03511599657427846,0.8458259121186671
충남,쯔쯔가무시증,5978.0,16833872.0,35.51173491161154,13.309694284913501,2.6681104878467408
충북,A형간염,1958.0,12697785.0,15.420012230479566,10.434328204307132,1.4778155266492787
충북,말라리아,24.0,12697785.0,0.18900934296808458,0.9044807728749918,0.20896999542322778
충북,백일해,58.0,12697785.0,0.45677257883953776,0.5801455267375588,0.7873413786506167
충북,수두,11870.0,12697785.0,93.4808708762985,100.29835818767161,0.9320279271310036
충북,신증후군출혈열,142.0,12697785.0,1.1183052792278338,0.7971818944535853,1.4028232289374272
충북,유행성이하선염,2603.0,12697785.0,20.49963832274684,25.09184271884589,0.8169841710090924
충북,일본뇌염,6.0,12697785.0,0.047252335742021145,0.03511599657427846,1.3456071406679722
충북,쯔쯔가무시증,1193.0,12697785.0,9.39533942337187,13.309694284913501,0.7059019705675329
